评论日期,评论者昵称,性别,所在城市,猫眼等级,评分,评论内容
2018-10-01,CJMQ,1,潜江,3,0.5,点了半天，发现没有0分，可惜了。
2018-10-01,老鱼    ,1,三亚,1,3.5,镜头拍的很漂亮，一直下雨有点冷
2018-10-01,cg2426691,1,台州,2,4.5,很好，水墨丹青画面超美，很有张艺谋的风格，喜欢
2018-10-01,静慈💐坤妈,2,南安,2,5,看到最后发现最能忍耐的人是影子
2018-10-01,zero°,0,凤城,1,5,好好好!心疼邓超。
2018-10-01,GHH1905,2,佛山,3,4,中国山水墨画，是非黑白。很有诗意，古筝配音令人沉醉。人性的挣扎入木三分
2018-10-01,iYp657051149,0,郑州,2,5,真的是大片，良心巨作，懂电影的自然明白，水墨画风，畅快淋漓，巨赞！！
2018-10-01,我爱摇滚,2,成都,2,5,这还是第一次看邓超的武打戏
2018-10-01,wBK686282480,1,黄冈,3,3,很无聊啊没啥意思
2018-10-01,9ink,2,达州,2,5,结局不是特别满意，但是值得一看🐣
2018-10-01,crd1017,1,温州,4,3,对于张大导演来说，只能说一般般吧，剧情基本上也都能猜到，画面虽然有意境，却太过刻意，与剧情格格不入。还是老毛病，过分强调画面的质感，而忽视了故事的本身，失望
2018-10-01,hwc585556701,0,北京,2,5,牛逼！！！！！！！！
2018-10-01,nGm468450676,0,东莞,2,4,总结5个字:我绿我自己。
2018-10-01,🙇🏻📚🔫,0,深圳,3,4.5,演技爆棚 但是剧情看得我迷迷糊糊
2018-10-01,热火芒果,1,武汉,3,4.5,"太美了太美了
那个张艺谋回来了
山谷，八卦，竹棒，沛伞，搭配上雨，水墨画般的衣服，太过美丽了
故事剧情也还不错，挺完整的了，非常非常喜欢"
2018-10-01,OGu207602116,0,昆山,1,5,演技精湛   好电影
2018-10-01,艳子,0,南宁,4,1.5,张艺谋的片，始终如一
2018-10-01,Xeo591255726,0,东莞,3,5,不懂欣赏的人会觉得不好。反之而观其美！
